class,precision,recall,f1-score,support,modality
AnnualCrop,0.8935281837160751,0.9511111111111111,0.9214208826695371,450.0,Optical
Forest,0.9844097995545658,0.9822222222222222,0.9833147942157954,450.0,Optical
HerbaceousVegetation,0.9157667386609071,0.9422222222222222,0.9288061336254108,450.0,Optical
Highway,0.967828418230563,0.9626666666666667,0.9652406417112299,375.0,Optical
Industrial,0.9705882352941176,0.968,0.9692923898531375,375.0,Optical
Pasture,0.9493243243243243,0.9366666666666666,0.9429530201342282,300.0,Optical
PermanentCrop,0.8886010362694301,0.9146666666666666,0.9014454664914586,375.0,Optical
Residential,0.9976851851851852,0.9577777777777777,0.9773242630385488,450.0,Optical
River,0.9855907780979827,0.912,0.9473684210526315,375.0,Optical
SeaLake,0.9889135254988913,0.9911111111111112,0.9900110987791343,450.0,Optical
accuracy,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9533333333333334,Optical
macro avg,0.9542236224832041,0.9518444444444445,0.9527177111571113,4050.0,Optical
weighted avg,0.9544844487491022,0.9533333333333334,0.9535890687046252,4050.0,Optical
AnnualCrop,0.9627192982456141,0.9755555555555555,0.9690949227373068,450.0,Multispectral
Forest,0.9933628318584071,0.9977777777777778,0.9955654101995566,450.0,Multispectral
HerbaceousVegetation,0.9954128440366973,0.9644444444444444,0.9796839729119639,450.0,Multispectral
Highway,0.9809782608695652,0.9626666666666667,0.971736204576043,375.0,Multispectral
Industrial,0.9867021276595744,0.9893333333333333,0.9880159786950732,375.0,Multispectral
Pasture,0.9339622641509434,0.99,0.9611650485436893,300.0,Multispectral
PermanentCrop,0.9731182795698925,0.9653333333333334,0.9692101740294511,375.0,Multispectral
Residential,0.9955654101995566,0.9977777777777778,0.9966703662597114,450.0,Multispectral
River,0.9838709677419355,0.976,0.9799196787148594,375.0,Multispectral
SeaLake,1.0,0.9977777777777778,0.9988876529477196,450.0,Multispectral
accuracy,0.9819753086419754,0.9819753086419754,0.9819753086419754,0.9819753086419754,Multispectral
macro avg,0.9805692284332187,0.9816666666666667,0.9809949409615374,4050.0,Multispectral
weighted avg,0.9822511026268567,0.9819753086419754,0.9820089689738786,4050.0,Multispectral
