class,precision,recall,f1-score,support,modality
AnnualCrop,0.9546485260770975,0.9355555555555556,0.9450056116722784,450.0,Optical
Forest,0.9718614718614719,0.9977777777777778,0.9846491228070176,450.0,Optical
HerbaceousVegetation,0.927765237020316,0.9133333333333333,0.9204927211646137,450.0,Optical
Highway,0.9915492957746479,0.9386666666666666,0.9643835616438357,375.0,Optical
Industrial,0.9805555555555555,0.9413333333333334,0.9605442176870749,375.0,Optical
Pasture,0.9148264984227129,0.9666666666666667,0.940032414910859,300.0,Optical
PermanentCrop,0.9098360655737705,0.888,0.8987854251012146,375.0,Optical
Residential,0.9594017094017094,0.9977777777777778,0.9782135076252724,450.0,Optical
River,0.941025641025641,0.9786666666666667,0.9594771241830066,375.0,Optical
SeaLake,0.9910714285714286,0.9866666666666667,0.9888641425389755,450.0,Optical
accuracy,0.9553086419753086,0.9553086419753086,0.9553086419753086,0.9553086419753086,Optical
macro avg,0.954254142928435,0.9544444444444444,0.9540447849334148,4050.0,Optical
weighted avg,0.9556042411283531,0.9553086419753086,0.9551746655105194,4050.0,Optical
AnnualCrop,0.8105906313645621,0.8844444444444445,0.8459086078639745,450.0,SAR
Forest,0.7858472998137802,0.9377777777777778,0.8551165146909828,450.0,SAR
HerbaceousVegetation,0.6183986371379898,0.8066666666666666,0.7000964320154291,450.0,SAR
Highway,0.9103448275862069,0.704,0.793984962406015,375.0,SAR
Industrial,0.9447513812154696,0.912,0.9280868385345997,375.0,SAR
Pasture,0.6698113207547169,0.71,0.6893203883495146,300.0,SAR
PermanentCrop,0.7424242424242424,0.392,0.5130890052356021,375.0,SAR
Residential,0.9391304347826087,0.96,0.9494505494505494,450.0,SAR
River,0.9749303621169917,0.9333333333333333,0.9536784741144414,375.0,SAR
SeaLake,0.984375,0.98,0.9821826280623608,450.0,SAR
accuracy,0.8325925925925926,0.8325925925925926,0.8325925925925926,0.8325925925925926,SAR
macro avg,0.838060413719657,0.8220222222222222,0.8210914400723469,4050.0,SAR
weighted avg,0.8402139142282791,0.8325925925925926,0.82774085828428,4050.0,SAR
